Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104811_P005_WE01	1355638	532171	39.3	347	237	235	223	191	142	2	73	83	0	0	235	0	203661
FMN_104811_P005_WE02	1662010	708037	42.6	355	248	245	234	197	138	1	75	84	0	0	245	0	206967
FMN_104811_P005_WE03	1478310	629720	42.6	336	241	239	229	193	144	2	74	83	0	0	239	0	211554
FMN_104811_P005_WE04	657964	232744	35.4	308	220	216	199	153	104	1	50	61	0	0	216	0	173157
FMN_104811_P005_WE06	538950	182534	33.9	303	210	208	198	145	101	0	47	51	0	0	208	0	170904
FMN_104811_P005_WE07	755888	302558	40.0	321	221	218	204	164	120	1	63	70	0	0	218	0	186138
FMN_104811_P005_WE08	1057622	408663	38.6	334	220	217	206	168	120	1	70	79	0	0	217	0	186960
FMN_104811_P005_WE09	539478	182032	33.7	302	206	204	192	148	105	0	45	55	0	0	204	0	171669
FMN_104811_P005_WE10	757764	292082	38.5	321	226	224	209	155	107	1	53	63	0	0	224	0	178620
FMN_104811_P005_WE11	1084586	429126	39.6	330	230	228	213	177	123	1	73	81	0	0	228	0	191652
FMN_104811_P005_WE12	1025334	414263	40.4	333	248	245	231	180	126	1	16	22	0	0	245	0	194559
FMN_104811_P005_WF01	2400896	1042405	43.4	341	257	253	241	189	133	1	68	89	0	0	253	0	202089
FMN_104811_P005_WF02	607278	208145	34.3	306	219	218	201	160	111	1	52	63	0	0	218	0	175407
FMN_104811_P005_WF04	790734	323366	40.9	331	238	234	223	184	131	2	13	16	0	0	234	0	202569
FMN_104811_P005_WF05	843330	306067	36.3	329	223	222	204	156	108	1	53	65	0	0	222	0	179073
FMN_104811_P005_WF06	689546	260092	37.7	314	218	216	199	147	92	1	48	57	0	0	216	0	165393
FMN_104811_P005_WF07	1939330	819087	42.2	357	250	247	237	203	160	2	84	93	0	0	247	0	216978
FMN_104811_P005_WF08	597654	215526	36.1	311	219	217	211	172	127	1	65	70	0	0	217	0	191988
FMN_104811_P005_WF09	1114704	438657	39.4	307	229	226	220	184	135	1	66	73	0	0	226	0	197499
FMN_104811_P005_WF10	485038	155054	32.0	301	198	196	167	104	65	1	29	46	0	0	196	0	130506
FMN_104811_P005_WG01	2437900	1037537	42.6	366	261	256	245	206	149	2	96	107	0	0	256	0	215940
FMN_104811_P005_WG02	917106	304258	33.2	326	232	228	214	165	109	1	8	13	0	0	228	0	177585
FMN_104811_P005_WG03	889858	327953	36.9	330	226	224	208	161	118	1	59	72	0	0	224	0	182559
FMN_104811_P005_WG08	1105640	385005	34.8	332	237	233	220	182	117	1	22	34	0	0	233	0	186831
FMN_104811_P005_WG09	542032	207552	38.3	316	216	214	200	151	106	1	58	65	0	0	214	0	174915
FMN_104811_P005_WG12	1470112	600110	40.8	356	239	235	226	188	137	1	73	85	0	0	235	0	201150
FMN_104811_P005_WH01	686278	296140	43.2	345	221	218	204	150	106	1	69	80	0	0	218	0	176013
FMN_104811_P005_WH02	1945310	626715	32.2	334	240	238	225	187	121	1	58	75	0	0	238	0	191535
FMN_104811_P005_WH03	2226560	913322	41.0	361	245	242	225	174	113	1	63	86	0	0	242	0	185463
FMN_104811_P005_WH04	1889734	753252	39.9	346	252	248	235	198	150	1	18	28	0	0	248	0	207600
FMN_104811_P005_WH05	1727886	710035	41.1	357	249	246	228	182	122	1	63	77	0	0	246	0	194655
FMN_104811_P005_WH06	1802814	752328	41.7	356	255	251	232	180	124	1	62	74	0	0	251	0	195987
FMN_104811_P005_WH07	923558	357089	38.7	329	219	217	205	161	108	1	62	74	0	0	217	0	179511
FMN_104811_P005_WH08	953436	387453	40.6	341	232	230	219	174	128	1	66	75	0	0	230	0	190536
FMN_104811_P005_WH09	728502	288198	39.6	324	224	222	180	113	64	1	4	9	0	0	222	0	135627
FMN_104811_P005_WH10	1910262	825543	43.2	358	249	247	239	206	152	1	74	86	0	0	247	0	214428
FMN_104811_P005_WH11	577916	193058	33.4	303	203	201	182	122	76	1	32	50	0	0	201	0	145491
FMN_104811_P005_WH12	1382620	577883	41.8	355	252	249	233	185	137	1	14	16	0	0	249	0	203409
FMN_104811_P006_WA08	1196360	478054	40.0	330	265	263	248	195	140	1	15	19	0	0	263	0	208623
FMN_104811_P006_WF02	1505394	604446	40.2	334	267	265	253	218	156	2	21	31	0	0	265	0	224433
FMN_104811_P006_WF03	3138852	1419413	45.2	350	281	280	275	253	203	2	126	131	0	0	280	0	262956
FMN_104811_P006_WF04	24208	8066	33.3	244	81	79	63	18	7	0	0	0	0	0	79	0	41301
FMN_104811_P006_WF05	2927394	1198452	40.9	363	282	279	264	225	159	1	82	92	0	0	279	0	225609
FMN_104811_P006_WF06	3257434	1361123	41.8	354	279	276	262	220	161	1	82	98	0	0	276	0	227457
FMN_104811_P006_WF09	974326	341191	35.0	331	255	252	243	210	152	2	12	14	0	0	252	0	216504
FMN_104811_P006_WF10	2802518	1162556	41.5	348	278	276	256	221	159	2	86	99	0	0	276	0	226401
FMN_104811_P006_WG05	2748560	1138902	41.4	347	278	276	261	219	148	1	67	91	0	0	276	0	219447
FMN_104811_P006_WG06	2183498	790145	36.2	337	258	255	244	207	158	1	99	117	0	0	255	0	220743
FMN_104811_P006_WG10	1398970	539852	38.6	342	266	264	248	204	148	1	10	12	0	0	264	0	215088
FMN_104811_P006_WH02	2213768	902141	40.8	332	287	286	277	234	175	2	10	13	0	0	286	0	241176
FMN_104811_P006_WH03	466928	190597	40.8	308	241	239	226	170	115	1	32	38	0	0	239	0	183948
FMN_104811_P006_WH05	2306376	890654	38.6	348	270	269	253	215	159	1	98	115	0	0	269	0	220443
FMN_104811_P006_WH06	2200698	903739	41.1	340	265	264	249	210	149	1	87	100	0	0	264	0	215385
FMN_104811_P006_WH08	2747222	963042	35.1	345	262	261	244	191	136	1	73	97	0	0	261	0	200478
FMN_104811_P007_WB09	2549256	1050153	41.2	320	290	288	256	173	96	1	2	2	0	0	288	0	185556
FMN_104811_P007_WE03	591526	252292	42.7	308	247	244	223	169	119	1	7	10	0	0	244	0	187098
FMN_104811_P007_WH07	1637526	681264	41.6	330	264	261	235	154	100	1	9	13	0	0	261	0	179037
FMN_104811_P007_WH08	2311804	966510	41.8	324	265	262	223	131	71	1	6	10	0	0	262	0	159321
FMN_104811_P009_WA01	2639558	1104232	41.8	339	273	272	243	180	119	0	67	90	0	0	272	0	191931
FMN_104811_P009_WA02	536508	218185	40.7	307	231	230	200	132	77	0	34	53	0	0	230	0	153030
FMN_104811_P009_WA03	4774518	2056773	43.1	337	287	286	252	191	115	0	64	85	0	0	286	0	196902
FMN_104811_P009_WA04	743566	301504	40.5	309	245	243	205	133	78	1	43	71	0	0	243	0	157935
FMN_104811_P009_WA05	119790	44973	37.5	264	160	159	104	38	10	0	0	9	0	0	159	0	66795
FMN_104811_P009_WA06	1452144	572837	39.4	316	240	238	173	99	47	0	8	19	0	0	238	0	123936
