Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104811_P005_WE01	1355638	532171	39.3	347	237	235	234	233	220	165	73	83	0	0	235	0	449452
FMN_104811_P005_WE02	1662010	708037	42.6	355	248	245	243	241	229	167	75	84	0	0	245	0	448796
FMN_104811_P005_WE03	1478310	629720	42.6	336	241	239	238	237	225	177	74	83	0	0	239	0	472585
FMN_104811_P005_WE04	657964	232744	35.4	308	220	216	216	205	191	104	50	61	0	0	216	0	342318
FMN_104811_P005_WE06	538950	182534	33.9	303	210	208	208	201	190	97	47	51	0	0	208	0	342669
FMN_104811_P005_WE07	755888	302558	40.0	321	221	218	217	213	202	132	63	70	0	0	218	0	390487
FMN_104811_P005_WE08	1057622	408663	38.6	334	220	217	217	210	203	134	70	79	0	0	217	0	395717
FMN_104811_P005_WE09	539478	182032	33.7	302	206	204	203	196	184	98	45	55	0	0	204	0	337727
FMN_104811_P005_WE10	757764	292082	38.5	321	226	224	223	215	198	108	53	63	0	0	224	0	359292
FMN_104811_P005_WE11	1084586	429126	39.6	330	230	228	226	224	211	144	73	81	0	0	228	0	413065
FMN_104811_P005_WE12	1025334	414263	40.4	333	248	245	245	243	228	149	16	22	0	0	245	0	420695
FMN_104811_P005_WF01	2400896	1042405	43.4	341	257	253	253	251	236	156	68	89	0	0	253	0	423481
FMN_104811_P005_WF02	607278	208145	34.3	306	219	218	217	207	197	97	52	63	0	0	218	0	343926
FMN_104811_P005_WF04	790734	323366	40.9	331	238	234	234	231	220	153	13	16	0	0	234	0	443817
FMN_104811_P005_WF05	843330	306067	36.3	329	223	222	221	216	201	106	53	65	0	0	222	0	363291
FMN_104811_P005_WF06	689546	260092	37.7	314	218	216	215	206	190	89	48	57	0	0	216	0	330483
FMN_104811_P005_WF07	1939330	819087	42.2	357	250	247	247	246	237	180	84	93	0	0	247	0	483893
FMN_104811_P005_WF08	597654	215526	36.1	311	219	217	216	215	203	143	65	70	0	0	217	0	399161
FMN_104811_P005_WF09	1114704	438657	39.4	307	229	226	225	223	209	147	66	73	0	0	226	0	417426
FMN_104811_P005_WF10	485038	155054	32.0	301	198	196	192	173	152	43	29	46	0	0	196	0	254659
FMN_104811_P005_WG01	2437900	1037537	42.6	366	261	256	256	254	242	171	96	107	0	0	256	0	465694
FMN_104811_P005_WG02	917106	304258	33.2	326	232	228	227	223	207	111	8	13	0	0	228	0	363434
FMN_104811_P005_WG03	889858	327953	36.9	330	226	224	223	219	206	121	59	72	0	0	224	0	381412
FMN_104811_P005_WG08	1105640	385005	34.8	332	237	233	232	230	217	132	22	34	0	0	233	0	401872
FMN_104811_P005_WG09	542032	207552	38.3	316	216	214	213	209	192	114	58	65	0	0	214	0	362638
FMN_104811_P005_WG12	1470112	600110	40.8	356	239	235	235	233	223	163	73	85	0	0	235	0	439436
FMN_104811_P005_WH01	686278	296140	43.2	345	221	218	218	212	195	100	69	80	0	0	218	0	342492
FMN_104811_P005_WH02	1945310	626715	32.2	334	240	238	238	234	223	130	58	75	0	0	238	0	401044
FMN_104811_P005_WH03	2226560	913322	41.0	361	245	242	242	236	221	127	63	86	0	0	242	0	390064
FMN_104811_P005_WH04	1889734	753252	39.9	346	252	248	248	245	231	169	18	28	0	0	248	0	464135
FMN_104811_P005_WH05	1727886	710035	41.1	357	249	246	246	238	226	143	63	77	0	0	246	0	408671
FMN_104811_P005_WH06	1802814	752328	41.7	356	255	251	251	246	225	145	62	74	0	0	251	0	422079
FMN_104811_P005_WH07	923558	357089	38.7	329	219	217	217	212	200	119	62	74	0	0	217	0	377422
